Título en español;Título original;Fecha de estreno;$ Inversión ;$ Recaudación 
La sirenita;The Little Mermaid;1989;40000000;223726012
PatoAventuras - La película: El tesoro de la lámpara perdida;DuckTales the Movie: Treasure of the Lost Lamp;1990;"
20000000";"
36107823"
Bernardo y Bianca en Cangurolandia / Los rescatadores en Cangurolandia;The Rescuers Down Under;1990;27000000;55796728
Colmillo Blanco;White Fang;1991;14000000;69540672
Náufragos;Shipwrecked;1991;8700000;
La fuerza del valor;Wild Hearts Can't Be Broken;1991;;"
14617333"
Rocketeer;The Rocketeer;1991;"
35000000";"
93256673"
La bella y la bestia;Beauty and the Beast;1991;25000000;363017667
La pandilla;Newsies;1992;"
15000000";"
5497481"
Cariño, he agrandado al niño / Querida, agrandé al bebé;Honey, I Blew Up the Kid;1992;"
40000000";119162518
Somos los mejores / Los campeones;The Mighty Ducks;1992;14000000;103120810
Aladdín;Aladdin;1992;28000000;441969178
Los Muppets: Una historia de Navidad / Los Teleñecos en Cuento de Navidad;The Muppets Christhmas Carol;1992;12000000;55417615
Homeward Bound: The Incredible Journey;Homeward Bound: The Incredible Journey;1993;;85182343
A Far Off Place;A Far Off Place;1993;;26248558
Las aventuras de Huckleberry Finn;The Adventures of Huck Finn;1993;6500000;49080505
Abracadabra / El retorno de las brujas;Hocus Pocus;1993;"
28000000";80147079
Jamaica bajo cero / Elegidos para el triunfo;Cool Runnings;1993;"
17000000";"
140392731"
Los tres mosqueteros;The Three Musketeers;1993;"
30000000";"
109310377"
El extraño mundo de Jack / Pesadilla antes de Navidad;The Nightmare Before Christmas;1993;18000000;"
100026637"
Voluntad de hierro;Iron Will;1994;;"
42610902"
Cheque en blanco;Blank Check;1994;"
13000000";"
63170804"
Vuelven los mejores / Los Campeones 2;D2: The Mighty Ducks;1994;;94226333
Colmillo Blanco 2;White Fang 2: The Myth of the White Wolf;1994;;"
18083994"
El retorno de Jafar;The Return of Jafar;1994;3500000;
El rey león;The Lion King;1994;45000000;761640898
Angels in the Outfield;Angels in the Outfield;1994;"
31000000";103798152
Squanto: A Warrior's Tale;Squanto: A Warrior's Tale;1994;19200000;6858345
Santa Cláusula / ¡Vaya Santa Claus!;The Santa Clause;1994;22000000;298369717
El libro de la selva: la aventura continúa;The Jungle Book;1994;30000000;"
88930321"
Pesos pesados;Heavyweights;1995;;"
34245779"
Man of the House;Man of the House;1995;"
22000000";77573459
La leyenda de Pecos Bill;Tall Tale;1995;"
32000000";"
15983331"
Goofy, la película / Goofy e hijo;A Goofy Movie;1995;18000000;68479579
Pocahontas;Pocahontas;1995;"
55000000";"
274370957"
Operación elefante;Operation Dumbo Drop;1995;24000000;"
47809421"
Aventuras en la corte del Rey Arturo / Un niño en la corte del Rey Arturo;A Kid in King Arthur's Court;1995;15000000;25981285
El gran equipo;The Big Green;1995;"
12000000";34372339
Frank y Ollie: Los magos de Disney;Frank and Ollie;1995;;
Toy Story;Toy Story;1995;30000000;370409631
Tom and Huck;Tom and Huck;1995;;"
45911517"
Los Muppets en la isla del tesoro / Los Teleñecos en la Isla del Tesoro;Muppet Treasure Island;1996;"
31000000";65470567
Volviendo a casa 2: perdidos en San Francisco;Homeward Bound II: Lost in San Francisco;1996;;62384706
James y el melocotón gigante/ Jim y el durazno gigante;James and the Giant Peach;1996;"
38000000";"
55159783"
El jorobado de Notre Dame;The Hunchback of Notre Dame;1996;"
100000000";"
190988799"
First Kid;First Kid;1996;"
15000000";50465108
El regreso de los mejores / Los campeones 3;D3: The Migthy Ducks;1996;;"
43713554"
Aladdín y el rey de los ladrones / Aladdín y los 40 ladrones;Aladdin and the King of Thieves;1996;;
101 dálmatas: ¡Ahora la magia es real! / 101 dálmatas: ¡Más vivos que nunca!;101 Dalmatians;1996;"
75000000";258728898
Un gato del FBI;That Darn Cat;1997;;"
33613158"
Jungle 2 Jungle;Jungle 2 Jungle;1997;32000000;"
110058379"
Hércules;Hércules;1997;85000000;"
182029412"
George de la selva / George de la jungla;George of the Jungle;1997;"
55000000";193326632
Air Bud;Air Bud;1997;"
3000000";45266588
RocketMan / El astronauta;RocketMan;1997;"
16000000";"
28371890"
Flubber;Flubber;1997;"
80000000";170406423
Mr. Magoo;Mr. Magoo;1997;"
30000000";"
39145784"
La bella y la bestia 2: Una Navidad Encantada;Beauty and the Beast: The Enchanted Christmas;1997;;
Vaya par de locos / Locura en el campamento;Meet the Deedles;1998;"
24000000";7829877
El mundo mágico de Bella;Belle's Magical World;1998;;
Mulán;Mulan;1998;"
90000000";216807832
Pocahontas 2: Viaje a un Nuevo Mundo;Pocahontas II: Journey to a New World;1998;;
El rey león 2;The Lion King II: Simba's Pride;1998;;
Juego de Gemelas / Tú a Londres y yo a California;The Parent Trap;1998;"
15000000";"
119185667"
Air Bud 2: el fichaje de la liga;Air Bud : Golden Reciever;1998;;
I'll Be Home for Christmas;I'll Be Home for Christmas;1998;"
30000000";"
21941840"
Bichos: Una aventura en miniatura;A Bug's Life;1998;120000000;"
288981698"
Mi Gran Amigo Joe;Migthy Joe Young;1998;"
90000000";87906042
Mi marciano favorito;My Favorite Martian;1999;"
65000000";"
61150849"
Doug: La película / Doug: Su 1ª película;Doug's 1st Movie;1999;"
5000000";32228598
Endurance;Endurance;1999;;380218
Tarzán;Tarzan;1999;"
130000000";"
283900254"
Inspector Gadget;Inspector Gadget;1999;"
90000000";161610341
The Straight Story;The Straight Story;1999;"
10000000";10111144
La mano detrás del ratón: la historia de Ub Iwerks;The Hand Behind the Mouse: The Ub Iwerks Story;1999;;
Mickey celebra la Navidad / Mickey descubre la Navidad;Mickey's Once Upon a Christmas;1999;;
Toy Story 2;Toy Story 2;1999;"
90000000";404450426
Fantasía 2000;Fantasia 2000;2000;"
85000000";14238144
La película de Tigger;The Tigger Movie;2000;"
15000000";71228678
Aventura elefantástica;Whispers: An Elephant's Tale;2000;4000000;
Goofy 2: Extremadamente Goofy / Explosivamente Goofy;An Extremely Goofy Movie;2000;;
Dinosaurio;Dinosaur;2000;"
127500000";215438985
Buzz Lightyear, Comando Estelar: La aventura comienza / Buzz Lightyear: La película;Buzz Lightyear of Star Command: The Adventure Begins;2000;;
La sirenita 2: Regreso al mar;The Little Mermaid II: Return to the Sea;2000;;
El chico / Mi encuentro conmigo;The Kid;2000;"
65000000";110317580
Duelo de Titanes / Grito de Titanes;Remember the Titans;2000;"
30000000";180742479
102 Dálmatas;102 Dalmatians;2000;"
85000000";104055039
Las locuras del emperador / El emperador y sus locuras;The Emperor's New Groove;2000;"
100000000";136789252
La dama y el vagabundo II: Las aventuras de Scamp / La dama y el vagabundo II: Las aventuras de Golfillo;Lady and the Tramp II: Scamp's Adventure;2001;;
La hija de Robin Hood;Princess of Thieves;2001;;
Llegó el recreo / La banda del patio - La película;Recess: School's Out;2001;"
23000000";"
54656124"
Atlantis: El imperio perdido;Atlantis: The Lost Empire;2001;"
90000000";125188122
El diario de la princesa / Princesa por sorpresa;The Princess Diaries;2001;26000000;161218928
Max Keeble's Big Movie;Max Keeble's Big Movie;2001;"
25000000";25749730
The Other Side of Heaven;The Other Side of Heaven;2001;7000000;4760014
Monsters, Inc. / Monstruos S.A.;Monsters, Inc.;2001;115000000;416073179
El Club de los Villanos con Mickey y sus Amigos / El Club de los Villanos;Mickey's House of Villains;2001;;
La Navidad Mágica de Mickey;Mickey's Magical Christmas: Snowed in at the House of Mouse;2001;;
Frío de perros / Aventuras en Alaska;Snow Dogs;2002;"
33000000";117745317
Peter Pan: El regreso al país de Nunca Jamás / Peter Pan en regreso al país de Nunca Jamás;Return to Never Land;2002;20000000;"
70269715"
El novato;The Rookie;2002;22000000;109691666
Lilo & Stitch;Lilo & Stitch;2002;"
80000000";211506702
La Cenicienta 2: Un sueño hecho realidad / La Cenicienta 2: ¡La magia no termina a medianoche!;Cinderella II: Dreams Come True;2002;;
El jorobado de Notre Dame 2;The Hunchback of Notre Dame II;2002;;
Tarzán y Jane;Tarzan & Jane;2002;;
The Country Bears;The Country Bears;2002;"
35000000";"
24650121"
Tuck Everlasting;Tuck Everlasting;2002;"
15000000";"
27789959"
Santa Cláusula 2 / Santa Claus 2;The Santa Clause 2;2002;"
65000000";201959095
El planeta del tesoro;Treasure Planet;2002;"
140000000";"
55189145"
101 dálmatas 2;101 dalmatians 2;2003;;
El libro de la selva 2;The Jungle Book 2;2003;20000000;"
66966883"
La Gran Película de Piglet;Piglet's Big Movie;2003;"
46000000";"
32298812"
Atlantis: El regreso de Milo;Atlantis: Milo's Return;2003;;
La película de Stitch;Stitch! The Movie;2003;;
Los fantasmas del Titanic;Ghosts of the Abyss;2003;13000000;23803108
El misterio de los Excavadores;Holes;2003;20000000;"
94203395"
Buscando a Nemo;Finding Nemo;2003;"
94000000";518148559
Piratas del Caribe: La maldición de la Perla Negra / Piratas del Caribe: La maldición del Perla Negra;Pirates of the Caribbean: The Curse of the Black Pearl;2003;"
140000000";426967926
Un viernes de locos / Ponte en mi lugar;Freaky Friday;2003;"
26000000";"
154090360"
Lizzie Superstar / Lizzie McGuire: Estrella Pop;The Lizzie McGuire Movie;2003;"
17000000";59743191
Tierra de osos / Hermano oso;Brother Bear;2003;46000000;"
119218333"
La Mansión Encantada / La Mansión Embrujada;The Haunted Mansion;2003;"
90000000";105775678
Kim Possible: Problemas en el Tiempo / Kim Possible: A través del tiempo;Kim Possible: A Sitch in Time;2003;;
El joven corcel negro / Shetan, el caballo del desierto;The Young Black Stallion;2003;;"
9254344"
Mulán 2;Mulan 2;2004;;
El rey león 3: ¡Hakuna Matata!;The Lion King 1 1/2;2004;10000000;1465
Una Primavera con Rito;Springtime with Roo;2004;;
Mickey, Donald y Goofy: Los tres mosqueteros;Mickey, Donald, Goofy: The Three Musketeers;2004;;
Mickey y sus amigos juntos otra Navidad / Mickey: La Mejor Navidad;Mickey's Twice Upon a Christmas;2004;;
Teacher's Pet / Este perro es un crack;Teacher's Pet;2004;10000000;8812764
Miracle;Miracle;2004;"
28000000";"
87392478"
Confesiones de una típica adolescente / Quiero ser superfamosa;Confessions of a Teenage Drama Queen;2004;15000000;39816568
Vacas Vaqueras / Zafarrancho en el rancho;Home on the Range;2004;"
110000000";67910166
Sacred Planet;Sacred Planet;2004;;1108356
America's Heart and Soul;America's Heart and Soul;2004;;426246
El Diario De La Princesa 2 / Princesa por sorpresa 2;The Princess Diaries 2: Royal Engagement;2004;45000000;"
129164207"
Los Increíbles;The Incredibles;2004;92000000;354488708
La búsqueda / La leyenda del tesoro perdido;National Treasure;2004;100000000;"
234069353"
Aliens of the Deep / Misterios del océano;Aliens of the Deep;2005;;"12775590
"
Winnie Pooh y el pequeño efelante / La película de Héffalump;Pooh's Heffalump Movie;2005;20000000;"
23801835"
Tarzán 2;Tarzan 2;2005;;
Lilo y Stitch 2: En corto circuito / Lilo y Stitch 2: El efecto del defecto;Lilo & Stitch 2: Stitch Has a Glitch;2005;;
Kim Possible la película: Todo un drama / Kim Possible: Sí es para Tanto;Kim Possible Movie: So the Drama;2005;;
La familia Proud: La película / Los Proud: La Película;The Proud Family Movie;2005;;
Una niñera a prueba de balas / Niñera a prueba de balas;The Pacifier;2005;"
56000000";"
148619029"
Soñando, soñando triunfé patinando / Sueños sobre hielo;Ice Princess;2005;"
25000000";32064685
Herbie: A Tope / Herbie a toda marcha;Herbie: Fully Loaded;2005;50000000;86812798
Sky High: Una escuela de altos vuelos / Súper Escuela de Héroes;Sky High;2005;"
35000000";"
84088854"
El juego que hizo historia;The Greatest Game Ever Played;2005;25000000;20162672
Chicken Little;Chicken Little;2005;"
150000000";"
177954661"
Las crónicas de Narnia: el león, la bruja y el armario / Las crónicas de Narnia: el león, la bruja y el ropero;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;2005;"
180000000";"
381557539"
Las Locuras de Kronk / El emperador y sus locuras 2: La Gran Aventura de Kronk;Kronk's New Groove;2005;;
Bambi II: El príncipe del bosque;Bambi II;2006;;
Camino a la gloria;Glory Road;2006;"
30000000";"
54888236"
Roving Mars;Roving Mars;2006;"
1000000";12948025
Rescate en la Antártida / Bajo cero;Eight Below;2006;"
40000000";105037235
Un Papá con Pocas Pulgas / Cariño, estoy hecho un perro;The Shaggy Dog;2006;"
50000000";"
78667428"
Salvaje / Vida salvaje;The Wild;2006;"
80000000";"
48114115"
Cars / Cars: Una aventura sobre ruedas;Cars;2006;120000000;"
314140384"
Leroy y Stitch;Leroy & Stitch;2006;;
Tierra de osos 2 / Hermano Oso 2;Brother bear 2;2006;;
El zorro y el sabueso 2 / Tod y Toby 2;The Fox and the Hound 2;2006;24000000;
Piratas del Caribe: El cofre del hombre muerto / Piratas de Caribe: El Cofre de la Muerte;Pirates of the Caribbean: Dead Man's Chest;2006;"
225000000";544817142
Buddy, Familia al recate / Air Buddies;Air Buddies;2006;9000000;
Invencible;Invincible;2006;"
30000000";"
74398864"
Santa Cláusula 3 / Santa Claus 3: Por una navidad sin frío;The Santa Clause 3: The Escape Clause;2006;12000000;108694869
La Cenicienta 3: Un giro en el tiempo / Cenicienta: ¿Qué pasaría sí...?;Cinderella III: A Twist in Time;2007;8000000;
La Familia del Futuro / Descubriendo a los Robinson;Meet The Robinsons;2007;150000000;169333034
Piratas del Caribe: en el fin del mundo;Pirates of the Caribbean: At World's End;2007;300000000;379129960
Ratatouille;Ratatouille;2007;"
150000000";"
252955933"
Superdog / Supercan;Underdog;2007;"
25000000";"
53619462"
